STATION,DATE,tavg-normal,tmax-normal,tmin-normal,MTD-PRCP-NORMAL,ytd-precip-normal
USW00023160,1-Jan,51.5,64.2,38.8,0.03,0.03
USW00023160,2-Jan,51.6,64.3,38.9,0.06,0.06
USW00023160,3-Jan,51.7,64.3,39,0.09,0.09
USW00023160,4-Jan,51.7,64.4,39,0.12,0.12
USW00023160,5-Jan,51.8,64.5,39.1,0.15,0.15
USW00023160,6-Jan,51.9,64.6,39.2,0.18,0.18
USW00023160,7-Jan,52,64.7,39.2,0.21,0.21
USW00023160,8-Jan,52,64.8,39.3,0.24,0.24
USW00023160,9-Jan,52.1,64.9,39.4,0.27,0.27
USW00023160,10-Jan,52.2,65,39.4,0.3,0.3
USW00023160,11-Jan,52.3,65.1,39.5,0.33,0.33
USW00023160,12-Jan,52.4,65.1,39.6,0.36,0.36
USW00023160,13-Jan,52.4,65.2,39.6,0.39,0.39
USW00023160,14-Jan,52.5,65.3,39.7,0.42,0.42
USW00023160,15-Jan,52.6,65.4,39.8,0.45,0.45
USW00023160,16-Jan,52.7,65.5,39.8,0.48,0.48
USW00023160,17-Jan,52.7,65.6,39.9,0.51,0.51
USW00023160,18-Jan,52.8,65.7,39.9,0.54,0.54
USW00023160,19-Jan,52.9,65.8,40,0.57,0.57
USW00023160,20-Jan,53,65.9,40.1,0.6,0.6
USW00023160,21-Jan,53,66,40.1,0.63,0.63
USW00023160,22-Jan,53.1,66,40.2,0.66,0.66
USW00023160,23-Jan,53.2,66.1,40.2,0.69,0.69
USW00023160,24-Jan,53.3,66.2,40.3,0.72,0.72
USW00023160,25-Jan,53.3,66.3,40.3,0.75,0.75
USW00023160,26-Jan,53.4,66.4,40.4,0.78,0.78
USW00023160,27-Jan,53.5,66.5,40.5,0.81,0.81
USW00023160,28-Jan,53.5,66.6,40.5,0.84,0.84
USW00023160,29-Jan,53.6,66.6,40.6,0.87,0.87
USW00023160,30-Jan,53.7,66.7,40.7,0.91,0.91
USW00023160,31-Jan,53.8,66.8,40.7,0.94,0.94
USW00023160,1-Feb,53.8,66.9,40.8,0.04,0.98
USW00023160,2-Feb,53.9,67,40.9,0.07,1.01
USW00023160,3-Feb,54,67.1,40.9,0.1,1.04
USW00023160,4-Feb,54.1,67.2,41,0.14,1.08
USW00023160,5-Feb,54.2,67.3,41.1,0.17,1.11
USW00023160,6-Feb,54.3,67.4,41.2,0.2,1.14
USW00023160,7-Feb,54.4,67.5,41.3,0.23,1.17
USW00023160,8-Feb,54.5,67.6,41.4,0.26,1.2
USW00023160,9-Feb,54.6,67.7,41.5,0.29,1.23
USW00023160,10-Feb,54.7,67.8,41.6,0.32,1.26
USW00023160,11-Feb,54.8,67.9,41.7,0.35,1.29
USW00023160,12-Feb,54.9,68,41.8,0.38,1.32
USW00023160,13-Feb,55,68.2,41.9,0.41,1.35
USW00023160,14-Feb,55.2,68.3,42,0.44,1.38
USW00023160,15-Feb,55.3,68.4,42.2,0.47,1.41
USW00023160,16-Feb,55.4,68.6,42.3,0.5,1.44
USW00023160,17-Feb,55.6,68.7,42.4,0.54,1.48
USW00023160,18-Feb,55.7,68.9,42.5,0.57,1.51
USW00023160,19-Feb,55.8,69,42.7,0.6,1.54
USW00023160,20-Feb,56,69.2,42.8,0.63,1.57
USW00023160,21-Feb,56.1,69.3,43,0.66,1.6
USW00023160,22-Feb,56.3,69.5,43.1,0.69,1.63
USW00023160,23-Feb,56.4,69.7,43.2,0.72,1.66
USW00023160,24-Feb,56.6,69.8,43.4,0.75,1.69
USW00023160,25-Feb,56.8,70,43.5,0.78,1.72
USW00023160,26-Feb,56.9,70.2,43.7,0.81,1.75
USW00023160,27-Feb,57.1,70.4,43.8,0.83,1.77
USW00023160,28-Feb,57.3,70.6,44,0.86,1.8
USW00023160,1-Mar,57.4,70.8,44.1,0.03,1.83
USW00023160,2-Mar,57.6,71,44.2,0.05,1.85
USW00023160,3-Mar,57.8,71.2,44.4,0.08,1.88
USW00023160,4-Mar,57.9,71.4,44.5,0.1,1.9
USW00023160,5-Mar,58.1,71.6,44.7,0.13,1.93
USW00023160,6-Mar,58.3,71.8,44.8,0.15,1.95
USW00023160,7-Mar,58.5,72,45,0.18,1.98
USW00023160,8-Mar,58.6,72.2,45.1,0.2,2
USW00023160,9-Mar,58.8,72.4,45.2,0.23,2.03
USW00023160,10-Mar,59,72.6,45.4,0.26,2.06
USW00023160,11-Mar,59.2,72.9,45.5,0.28,2.08
USW00023160,12-Mar,59.4,73.1,45.6,0.31,2.11
USW00023160,13-Mar,59.5,73.3,45.8,0.33,2.13
USW00023160,14-Mar,59.7,73.5,45.9,0.36,2.16
USW00023160,15-Mar,59.9,73.8,46,0.38,2.18
USW00023160,16-Mar,60.1,74,46.2,0.41,2.21
USW00023160,17-Mar,60.3,74.3,46.3,0.43,2.23
USW00023160,18-Mar,60.5,74.5,46.4,0.46,2.26
USW00023160,19-Mar,60.7,74.7,46.6,0.48,2.28
USW00023160,20-Mar,60.8,75,46.7,0.51,2.31
USW00023160,21-Mar,61,75.2,46.9,0.53,2.33
USW00023160,22-Mar,61.2,75.5,47,0.55,2.35
USW00023160,23-Mar,61.4,75.7,47.1,0.57,2.37
USW00023160,24-Mar,61.6,76,47.3,0.59,2.39
