PRCP,SNOW,SNOWDEPTH,TMAX,TMIN,TUCYEAR,TUCMONTH,TUCDAY,Notes
0.00,0.00,0.00,70,34,1900,1,1,Source: NOAA Climate Data Online
0.00,0.00,0.00,68,39,1900,1,2,
0.00,0.00,0.00,68,41,1900,1,3,
0.05,0.00,0.00,66,45,1900,1,4,
0.00,0.00,0.00,70,38,1900,1,5,
0.00,0.00,0.00,70,39,1900,1,6,
0.00,0.00,0.00,73,36,1900,1,7,
0.00,0.00,0.00,64,41,1900,1,8,
0.04,0.00,0.00,58,39,1900,1,9,
0.00,0.00,0.00,62,36,1900,1,10,
0.00,0.00,0.00,66,27,1900,1,11,
0.00,0.00,0.00,70,28,1900,1,12,
0.00,0.00,0.00,76,31,1900,1,13,
0.00,0.00,0.00,76,34,1900,1,14,
0.00,0.00,0.00,73,34,1900,1,15,
0.00,0.00,0.00,70,33,1900,1,16,
0.00,0.00,0.00,72,30,1900,1,17,
0.00,0.00,0.00,64,46,1900,1,18,
0.00,0.00,0.00,72,43,1900,1,19,
0.00,0.00,0.00,75,31,1900,1,20,
0.00,0.00,0.00,74,34,1900,1,21,
