PRCP,SNOW,SNOWDEPTH,TMAX,TMIN,TUCYEAR,TUCMONTH,TUCDAY,Notes
0,0,0,70,34,1900,1,1,Source: NOAA Climate Data Online
0,0,0,68,39,1900,1,2,
0,0,0,68,41,1900,1,3,
0.05,0,0,66,45,1900,1,4,
0,0,0,70,38,1900,1,5,
0,0,0,70,39,1900,1,6,
0,0,0,73,36,1900,1,7,
0,0,0,64,41,1900,1,8,
0.04,0,0,58,39,1900,1,9,
0,0,0,62,36,1900,1,10,
0,0,0,66,27,1900,1,11,
0,0,0,70,28,1900,1,12,
0,0,0,76,31,1900,1,13,
0,0,0,76,34,1900,1,14,
0,0,0,73,34,1900,1,15,
0,0,0,70,33,1900,1,16,
0,0,0,72,30,1900,1,17,
0,0,0,64,46,1900,1,18,
0,0,0,72,43,1900,1,19,
0,0,0,75,31,1900,1,20,
0,0,0,74,34,1900,1,21,
