precip,snow,snowdepth,tmax,tmin,year,month,day
0,0,0,67,51,1895,1,1
0,0,0,66,35,1895,1,2
0,0,0,72,33,1895,1,3
0,0,0,72,37,1895,1,4
0,0,0,63,39,1895,1,5
0,0,0,66,51,1895,1,6
0.06,0,0,65,47,1895,1,7
0,0,0,62,32,1895,1,8
0,0,0,67,39,1895,1,9
0,0,0,72,31,1895,1,10
0,0,0,75,39,1895,1,11
0,0,0,76,32,1895,1,12
0,0,0,72,37,1895,1,13
0,0,0,72,39,1895,1,14
0.18,0,0,67,50,1895,1,15
0.11,0,0,64,51,1895,1,16
0,0,0,67,50,1895,1,17
0,0,0,67,40,1895,1,18
0,0,0,64,50,1895,1,19
0,0,0,61,44,1895,1,20
0,0,0,68,35,1895,1,21
0,0,0,68,37,1895,1,22
0,0,0,68,33,1895,1,23
0,0,0,60,39,1895,1,24
0,0,0,58,28,1895,1,25
0,0,0,56,33,1895,1,26
0.09,0,0,55,39,1895,1,27
0.12,0,0,55,36,1895,1,28
0,0,0,59,33,1895,1,29
0,0,0,60,27,1895,1,30
0,0,0,62,30,1895,1,31
0,0,0,64,29,1895,2,1
0,0,0,67,29,1895,2,2
0,0,0,70,29,1895,2,3
0,0,0,70,32,1895,2,4
0,0,0,73,32,1895,2,5
,0,0,72,33,1895,2,6
0,0,0,71,34,1895,2,7
0,0,0,73,40,1895,2,8
0,0,0,69,39,1895,2,9
0,0,0,65,43,1895,2,10
0,0,0,62,42,1895,2,11
0,0,0,67,47,1895,2,12
0,0,0,67,49,1895,2,13
0,0,0,65,34,1895,2,14
0,0,0,56,30,1895,2,15
0,0,0,58,30,1895,2,16
0,0,0,67,29,1895,2,17
0,0,0,72,31,1895,2,18
0,0,0,76,34,1895,2,19
0,0,0,79,38,1895,2,20
0,0,0,80,40,1895,2,21
0,0,0,81,47,1895,2,22
0,0,0,84,43,1895,2,23
0,0,0,78,45,1895,2,24
0,0,0,72,42,1895,2,25
0,0,0,71,37,1895,2,26
0,0,0,73,39,1895,2,27
0,0,0,78,41,1895,2,28
0,0,0,77,36,1895,3,1
0,0,0,77,45,1895,3,2
0,0,0,79,45,1895,3,3
0,0,0,77,36,1895,3,4
0,0,0,79,35,1895,3,5
0,0,0,75,40,1895,3,6
0,0,0,77,36,1895,3,7
0,0,0,81,38,1895,3,8
0,0,0,78,42,1895,3,9
0,0,0,77,40,1895,3,10
0,0,0,69,48,1895,3,11
0,0,0,74,40,1895,3,12
0,0,0,72,41,1895,3,13
0,0,0,68,47,1895,3,14
0,0,0,65,46,1895,3,15
0,0,0,71,30,1895,3,16
0,0,0,70,34,1895,3,17
0,0,0,67,43,1895,3,18
0,0,0,69,30,1895,3,19
0,0,0,78,31,1895,3,20
0,0,0,77,35,1895,3,21
0,0,0,79,36,1895,3,22
0,0,0,80,40,1895,3,23
0,0,0,86,41,1895,3,24
0,0,0,92,44,1895,3,25
0,0,0,91,60,1895,3,26
0,0,0,91,58,1895,3,27
0,0,0,86,63,1895,3,28
0,0,0,77,55,1895,3,29
0,0,0,66,38,1895,3,30
0,0,0,71,30,1895,3,31
0,0,0,77,,1895,4,1
0,0,0,,,1895,4,2
0,0,0,,,1895,4,3
0,0,0,83,51,1895,4,4
0,0,0,78,41,1895,4,5
0,0,0,66,35,1895,4,6
0,0,0,78,31,1895,4,7
0,0,0,86,53,1895,4,8
0,0,0,85,41,1895,4,9
0,0,0,85,44,1895,4,10
0,0,0,87,41,1895,4,11
0,0,0,92,42,1895,4,12
0,0,0,95,46,1895,4,13
0,0,0,92,57,1895,4,14
0,0,0,71,,1895,4,15
0,0,0,83,41,1895,4,16
0,0,0,88,44,1895,4,17
0,0,0,88,47,1895,4,18
0,0,0,89,52,1895,4,19
0,0,0,89,51,1895,4,20
0,0,0,87,49,1895,4,21
0,0,0,81,49,1895,4,22
0,0,0,83,53,1895,4,23
0,0,0,87,58,1895,4,24
0,0,0,86,54,1895,4,25
0,0,0,83,45,1895,4,26
0,0,0,86,47,1895,4,27
0,0,0,87,44,1895,4,28
0,0,0,79,46,1895,4,29
0,0,0,84,43,1895,4,30
0,0,0,85,49,1895,5,1
0,0,0,82,60,1895,5,2
0,0,0,82,55,1895,5,3
0,0,0,84,47,1895,5,4
0,0,0,89,53,1895,5,5
0,0,0,98,54,1895,5,6
0,0,0,102,57,1895,5,7
0,0,0,101,55,1895,5,8
0,0,0,101,62,1895,5,9
0,0,0,97,60,1895,5,10
0,0,0,97,57,1895,5,11
0,0,0,97,70,1895,5,12
0,0,0,100,62,1895,5,13
0,0,0,97,64,1895,5,14
0,0,0,97,62,1895,5,15
0,0,0,96,61,1895,5,16
0,0,0,96,58,1895,5,17
0.07,0,0,88,65,1895,5,18
0,0,0,89,55,1895,5,19
0,0,0,90,57,1895,5,20
0.02,0,0,86,63,1895,5,21
0,0,0,86,56,1895,5,22
0,0,0,87,58,1895,5,23
0,0,0,88,58,1895,5,24
0,0,0,92,53,1895,5,25
0,0,0,94,56,1895,5,26
0,0,0,96,62,1895,5,27
0,0,0,92,68,1895,5,28
0,0,0,79,54,1895,5,29
0,0,0,83,50,1895,5,30
0,0,0,90,53,1895,5,31
0,0,0,85,52,1895,6,1
