PRCP_in,SNOW_in,SNWD_in,TMAX_f,TMIN_f,year,month,day,DATE
0,0,0,67,51,1895,1,1,1895-01-01
0,0,0,66,35,1895,1,2,1895-01-02
0,0,0,72,33,1895,1,3,1895-01-03
0,0,0,72,37,1895,1,4,1895-01-04
0,0,0,63,39,1895,1,5,1895-01-05
0,0,0,66,51,1895,1,6,1895-01-06
0.06,0,0,65,47,1895,1,7,1895-01-07
0,0,0,62,32,1895,1,8,1895-01-08
0,0,0,67,39,1895,1,9,1895-01-09
0,0,0,72,31,1895,1,10,1895-01-10
0,0,0,75,39,1895,1,11,1895-01-11
0,0,0,76,32,1895,1,12,1895-01-12
0,0,0,72,37,1895,1,13,1895-01-13
0,0,0,72,39,1895,1,14,1895-01-14
0.18,0,0,67,50,1895,1,15,1895-01-15
0.11,0,0,64,51,1895,1,16,1895-01-16
0,0,0,67,50,1895,1,17,1895-01-17
0,0,0,67,40,1895,1,18,1895-01-18
0,0,0,64,50,1895,1,19,1895-01-19
0,0,0,61,44,1895,1,20,1895-01-20
0,0,0,68,35,1895,1,21,1895-01-21
0,0,0,68,37,1895,1,22,1895-01-22
0,0,0,68,33,1895,1,23,1895-01-23
0,0,0,60,39,1895,1,24,1895-01-24
0,0,0,58,28,1895,1,25,1895-01-25
0,0,0,56,33,1895,1,26,1895-01-26
0.09,0,0,55,39,1895,1,27,1895-01-27
0.12,0,0,55,36,1895,1,28,1895-01-28
0,0,0,59,33,1895,1,29,1895-01-29
0,0,0,60,27,1895,1,30,1895-01-30
0,0,0,62,30,1895,1,31,1895-01-31
0,0,0,64,29,1895,2,1,1895-02-01
0,0,0,67,29,1895,2,2,1895-02-02
0,0,0,70,29,1895,2,3,1895-02-03
0,0,0,70,32,1895,2,4,1895-02-04
0,0,0,73,32,1895,2,5,1895-02-05
,0,0,72,33,1895,2,6,1895-02-06
0,0,0,71,34,1895,2,7,1895-02-07
0,0,0,73,40,1895,2,8,1895-02-08
0,0,0,69,39,1895,2,9,1895-02-09
0,0,0,65,43,1895,2,10,1895-02-10
0,0,0,62,42,1895,2,11,1895-02-11
0,0,0,67,47,1895,2,12,1895-02-12
0,0,0,67,49,1895,2,13,1895-02-13
0,0,0,65,34,1895,2,14,1895-02-14
0,0,0,56,30,1895,2,15,1895-02-15
0,0,0,58,30,1895,2,16,1895-02-16
0,0,0,67,29,1895,2,17,1895-02-17
0,0,0,72,31,1895,2,18,1895-02-18
0,0,0,76,34,1895,2,19,1895-02-19
0,0,0,79,38,1895,2,20,1895-02-20
0,0,0,80,40,1895,2,21,1895-02-21
0,0,0,81,47,1895,2,22,1895-02-22
0,0,0,84,43,1895,2,23,1895-02-23
0,0,0,78,45,1895,2,24,1895-02-24
0,0,0,72,42,1895,2,25,1895-02-25
0,0,0,71,37,1895,2,26,1895-02-26
0,0,0,73,39,1895,2,27,1895-02-27
0,0,0,78,41,1895,2,28,1895-02-28
0,0,0,77,36,1895,3,1,1895-03-01
0,0,0,77,45,1895,3,2,1895-03-02
0,0,0,79,45,1895,3,3,1895-03-03
0,0,0,77,36,1895,3,4,1895-03-04
0,0,0,79,35,1895,3,5,1895-03-05
0,0,0,75,40,1895,3,6,1895-03-06
0,0,0,77,36,1895,3,7,1895-03-07
0,0,0,81,38,1895,3,8,1895-03-08
0,0,0,78,42,1895,3,9,1895-03-09
0,0,0,77,40,1895,3,10,1895-03-10
0,0,0,69,48,1895,3,11,1895-03-11
0,0,0,74,40,1895,3,12,1895-03-12
0,0,0,72,41,1895,3,13,1895-03-13
0,0,0,68,47,1895,3,14,1895-03-14
0,0,0,65,46,1895,3,15,1895-03-15
0,0,0,71,30,1895,3,16,1895-03-16
0,0,0,70,34,1895,3,17,1895-03-17
0,0,0,67,43,1895,3,18,1895-03-18
0,0,0,69,30,1895,3,19,1895-03-19
0,0,0,78,31,1895,3,20,1895-03-20
0,0,0,77,35,1895,3,21,1895-03-21
0,0,0,79,36,1895,3,22,1895-03-22
0,0,0,80,40,1895,3,23,1895-03-23
0,0,0,86,41,1895,3,24,1895-03-24
0,0,0,92,44,1895,3,25,1895-03-25
0,0,0,91,60,1895,3,26,1895-03-26
0,0,0,91,58,1895,3,27,1895-03-27
0,0,0,86,63,1895,3,28,1895-03-28
0,0,0,77,55,1895,3,29,1895-03-29
0,0,0,66,38,1895,3,30,1895-03-30
0,0,0,71,30,1895,3,31,1895-03-31
0,0,0,77,,1895,4,1,1895-04-01
0,0,0,,,1895,4,2,1895-04-02
0,0,0,,,1895,4,3,1895-04-03
0,0,0,83,51,1895,4,4,1895-04-04
0,0,0,78,41,1895,4,5,1895-04-05
0,0,0,66,35,1895,4,6,1895-04-06
0,0,0,78,31,1895,4,7,1895-04-07
0,0,0,86,53,1895,4,8,1895-04-08
0,0,0,85,41,1895,4,9,1895-04-09
0,0,0,85,44,1895,4,10,1895-04-10
0,0,0,87,41,1895,4,11,1895-04-11
0,0,0,92,42,1895,4,12,1895-04-12
0,0,0,95,46,1895,4,13,1895-04-13
0,0,0,92,57,1895,4,14,1895-04-14
0,0,0,71,,1895,4,15,1895-04-15
0,0,0,83,41,1895,4,16,1895-04-16
0,0,0,88,44,1895,4,17,1895-04-17
0,0,0,88,47,1895,4,18,1895-04-18
0,0,0,89,52,1895,4,19,1895-04-19
0,0,0,89,51,1895,4,20,1895-04-20
0,0,0,87,49,1895,4,21,1895-04-21
0,0,0,81,49,1895,4,22,1895-04-22
0,0,0,83,53,1895,4,23,1895-04-23
0,0,0,87,58,1895,4,24,1895-04-24
0,0,0,86,54,1895,4,25,1895-04-25
0,0,0,83,45,1895,4,26,1895-04-26
0,0,0,86,47,1895,4,27,1895-04-27
0,0,0,87,44,1895,4,28,1895-04-28
0,0,0,79,46,1895,4,29,1895-04-29
0,0,0,84,43,1895,4,30,1895-04-30
0,0,0,85,49,1895,5,1,1895-05-01
0,0,0,82,60,1895,5,2,1895-05-02
0,0,0,82,55,1895,5,3,1895-05-03
0,0,0,84,47,1895,5,4,1895-05-04
0,0,0,89,53,1895,5,5,1895-05-05
0,0,0,98,54,1895,5,6,1895-05-06
0,0,0,102,57,1895,5,7,1895-05-07
0,0,0,101,55,1895,5,8,1895-05-08
0,0,0,101,62,1895,5,9,1895-05-09
0,0,0,97,60,1895,5,10,1895-05-10
0,0,0,97,57,1895,5,11,1895-05-11
0,0,0,97,70,1895,5,12,1895-05-12
0,0,0,100,62,1895,5,13,1895-05-13
0,0,0,97,64,1895,5,14,1895-05-14
0,0,0,97,62,1895,5,15,1895-05-15
0,0,0,96,61,1895,5,16,1895-05-16
0,0,0,96,58,1895,5,17,1895-05-17
0.07,0,0,88,65,1895,5,18,1895-05-18
0,0,0,89,55,1895,5,19,1895-05-19
0,0,0,90,57,1895,5,20,1895-05-20
0.02,0,0,86,63,1895,5,21,1895-05-21
0,0,0,86,56,1895,5,22,1895-05-22
0,0,0,87,58,1895,5,23,1895-05-23
0,0,0,88,58,1895,5,24,1895-05-24
0,0,0,92,53,1895,5,25,1895-05-25
0,0,0,94,56,1895,5,26,1895-05-26
0,0,0,96,62,1895,5,27,1895-05-27
0,0,0,92,68,1895,5,28,1895-05-28
0,0,0,79,54,1895,5,29,1895-05-29
0,0,0,83,50,1895,5,30,1895-05-30
0,0,0,90,53,1895,5,31,1895-05-31
0,0,0,85,52,1895,6,1,1895-06-01
0,0,0,82,45,1895,6,2,1895-06-02
0,0,0,89,48,1895,6,3,1895-06-03
0,0,0,91,54,1895,6,4,1895-06-04
0,0,0,104,73,1895,6,5,1895-06-05
0,0,0,102,76,1895,6,6,1895-06-06
0,0,0,99,66,1895,6,7,1895-06-07
0.01,0,0,95,73,1895,6,8,1895-06-08
0,0,0,95,60,1895,6,9,1895-06-09
0,0,0,97,53,1895,6,10,1895-06-10
0,0,0,102,56,1895,6,11,1895-06-11
0,0,0,100,63,1895,6,12,1895-06-12
0,0,0,100,69,1895,6,13,1895-06-13
